id	gene_symbol	log_FC	log_CPM	deseq.p-value	deseq.adj.pvalue	edger.p.value	edger.adj.p.value	X3225P4.norm	X3225P5.norm	X3225P6.norm	WTP4.norm	WTP5.norm	WTP6.norm	X3225P4.raw	X3225P5.raw	X3225P6.raw	WTP4.raw	WTP5.raw	WTP6.raw
PA14_22470	PA14_22470	3.617	8.868	8.1e-137	4.9e-133	2.6e-133	3.9e-130	4282	4107	3759	366	320	304	3233	3852	4993	412	266	345
PA14_22450	ppiA	3.982	8.107	3.3e-127	9.8e-124	3.7e-144	7.5e-141	2642	2459	2194	161	141	159	1995	2306	2915	181	117	180
PA14_48650	yhhW	4.158	6.57	3.3e-122	6.5e-119	8.7e-158	5.2e-154	830	862	839	45	46	50	626	809	1114	51	38	57
PA14_27070	PA14_27070	3.031	9.574	1.2e-106	1.8e-103	3.1e-103	3.1e-100	6717	6199	6170	718	757	858	5071	5814	8194	811	629	973
PA14_22460	PA14_22460	4.044	8.45	2e-102	2.4e-99	6e-145	1.8e-141	2968	3442	2854	171	202	190	2240	3229	3791	193	168	215
PA14_22440	bapA	3.418	9.879	3e-94	3e-91	4.7e-111	5.6e-108	8373	8654	7178	709	704	852	6321	8117	9534	800	584	966
PA14_10490	PA14_10490	-1.867	6.39	4.1e-34	3.5e-31	9.5e-38	7.1e-35	202	144	158	584	607	641	154	135	210	659	504	727
PA14_22280	PA14_22280	1.821	5.435	4.5e-26	3.4e-23	1.4e-34	8.3e-32	322	298	321	80	106	82	243	279	426	90	89	93
PA14_22420	PA14_22420	2.314	4.291	1.8e-24	1.2e-21	1.1e-35	7.2e-33	160	159	133	28	27	35	121	149	177	32	22	39
PA14_27390	PA14_27390	1.637	5.128	8.7e-20	5.2e-17	4.9e-27	2.7e-24	222	260	253	71	79	87	167	244	336	80	66	98
PA14_10500	ccoN	-1.62	7.419	3.7e-19	2e-16	3.9e-17	1.6e-14	527	271	377	1167	1126	1320	401	254	501	1317	935	1497
PA14_40380	PA14_40380	-4.116	5.211	5e-16	2.5e-13	8.5e-62	7.3e-59	23	19	14	272	273	421	18	18	19	308	226	476
PA14_05510	yceI	1.283	8.879	7.9e-14	3.6e-11	1.6e-19	8.1e-17	3115	2685	3573	1250	1270	1332	2351	2518	4743	1411	1055	1511
PA14_28500	PA14_28500	-1.073	7.93	3.3e-13	1.4e-10	2.2e-10	5e-08	927	722	556	1468	1528	1639	702	677	741	1657	1269	1859
PA14_18100	PA14_18100	-1.079	7.093	4e-11	1.6e-08	2e-12	6e-10	495	366	368	774	852	966	375	343	490	874	708	1095
PA14_22490	acpD	1.606	3.69	8e-11	3e-08	2.9e-15	1.1e-12	83	77	102	31	27	28	62	72	134	35	22	32
PA14_34540	PA14_34540	-1.512	4.899	9e-11	3.2e-08	7.9e-19	3.6e-16	70	65	77	180	185	243	53	61	102	204	153	275
PA14_10530	PA14_10530	-1.219	8.724	2e-10	6.6e-08	2.9e-11	8.3e-09	1520	865	1183	2687	2520	3098	1150	811	1571	3032	2093	3515
PA14_33650	pvdD	0.739	12.626	7.4e-10	2.3e-07	4e-08	4.5e-06	32904	37703	40502	21521	22894	22137	24837	35363	53783	24284	19019	25118
PA14_33630	pvdJ	0.744	12.04	9e-10	2.7e-07	1.8e-08	2.2e-06	22287	25299	26527	14169	14975	15114	16823	23729	35225	15988	12440	17149
PA14_60560	PA14_60560	-0.87	8.011	1e-09	3e-07	1.4e-07	1.4e-05	968	966	628	1477	1649	1553	732	906	837	1667	1370	1762
PA14_43760	PA14_43760	-1.009	6.379	1.2e-09	3.4e-07	6.1e-10	1.2e-07	325	243	205	488	490	571	247	228	274	551	407	647
PA14_13290	PA14_13290	-1.427	3.907	1.4e-09	3.6e-07	2.2e-14	7.4e-12	40	31	40	99	111	90	30	29	53	112	93	102
