gene_symbol,biofilm_logFC,biofilm_padj,planktonic_logFC,planktonic_padj,biofilm_label,biofilm_abs_logFC,planktonic_abs_logFC,biofilm_significant,planktonic_significant
PA14_22460,4.345,1.2e-67,3.617,4.900000000000001e-133,1,4.345,3.617,1,1
ppiA,4.151,3e-63,3.982,9.800000000000001e-124,1,4.151,3.982,1,1
PA14_22470,3.929,1.7e-62,4.158,6.5e-119,1,3.929,4.158,1,1
bapA,3.773,4.400000000000001e-59,3.031,1.8e-103,1,3.773,3.031,1,1
PA14_27070,3.263,1.6e-46,4.044,2.4e-99,1,3.263,4.044,1,1
yhhW,2.964,3.4e-33,3.418,2.9999999999999997e-91,1,2.964,3.418,1,1
PA14_22420,2.388,1.4e-18,-1.867,3.5e-31,1,2.388,1.867,1,1
PA14_27390,1.633,1.8e-09,1.821,3.4e-23,1,1.633,1.821,1,1
PA14_03730,-1.27,2e-07,2.314,1.2e-21,1,1.27,2.314,1,1
PA14_05500,1.283,2.8e-06,1.637,5.2e-17,1,1.283,1.637,1,1
PA14_22280,1.861,5.6e-06,-1.62,2e-16,1,1.861,1.62,1,1
oprQ,-1.069,3.7e-05,-4.116,2.5e-13,1,1.069,4.116,1,1
nirS,-1.513,6.1e-05,1.283,3.6e-11,1,1.513,1.283,1,1
PA14_36470,-1.067,6.1e-05,-1.073,1.4e-10,1,1.067,1.073,1,1
PA14_15360,-1.172,0.0043,-1.079,1.6e-08,1,1.172,1.079,1,1
PA14_36530,-0.795,0.027,1.606,3e-08,0,0.795,1.606,1,1
PA14_05910,0.976,0.027,-1.512,3.2e-08,0,0.976,1.512,1,1
pchD,-0.784,0.035,-1.219,6.6e-08,0,0.784,1.219,1,1
PA14_36820,-1.359,0.057,0.739,2.3e-07,0,1.359,0.739,0,1
norC,-1.811,0.067,0.744,2.7e-07,0,1.811,0.744,0,1
PA14_09750,-0.813,0.074,-0.87,3e-07,0,0.813,0.87,0,1
PA14_05890,1.012,0.096,-1.009,3.4e-07,0,1.012,1.009,0,1
PA14_39990,-0.743,0.1,-1.427,3.6e-07,0,0.743,1.427,0,1
PA14_67410,0.915,0.1,-0.817,7.3e-07,0,0.915,0.817,0,1
acpD,1.04,0.11,-1.543,1.2e-06,0,1.04,1.543,0,1
pchF,-0.692,0.13,-1.206,1.2e-06,0,0.692,1.206,0,1
ccoN,-0.731,0.14,0.828,2.4e-06,0,0.731,0.828,0,1
PA14_40020,-0.754,0.17,-1.108,3.2e-06,0,0.754,1.108,0,1
pchI,-0.703,0.18,-0.714,3.3e-06,0,0.703,0.714,0,1
PA14_32250,-0.942,0.18,-1.069,4.1e-06,0,0.942,1.069,0,1
phnA,0.769,0.18,0.953,1e-05,0,0.769,0.953,0,1
PA14_00480,-0.636,0.19,0.773,1.1e-05,0,0.636,0.773,0,1
aptA,0.745,0.2,0.945,1.1e-05,0,0.745,0.945,0,1
PA14_58330,-1.179,0.19,-0.76,1.3e-05,0,1.179,0.76,0,1
pchE,-0.636,0.22,-0.751,2.1e-05,0,0.636,0.751,0,1
PA14_36520,-0.794,0.23,-0.729,2.3e-05,0,0.794,0.729,0,1
PA14_36500,-0.728,0.31,0.689,3.1e-05,0,0.728,0.689,0,1
pchC,-0.788,0.37,-0.882,3.8e-05,0,0.788,0.882,0,1
opdQ,-0.58,0.46,1.039,4.5e-05,0,0.58,1.039,0,1
muiA,-0.791,0.46,0.801,0.0001,0,0.791,0.801,0,1
pchB,-0.879,0.47,0.784,0.00012,0,0.879,0.784,0,1
dipZ2,-0.653,0.47,-0.677,0.00012,0,0.653,0.677,0,1
pchH,-0.599,0.51,-0.663,0.00013,0,0.599,0.663,0,1
prtN,-0.636,0.51,-0.585,0.00016,0,0.636,0.585,0,1
PA14_40240,0.675,0.51,0.787,0.00018,0,0.675,0.787,0,1
dctA,-0.601,0.51,0.999,0.0002,0,0.601,0.999,0,1
lasB,-0.558,0.54,-0.665,0.0002,0,0.558,0.665,0,1
yeiH,-0.873,0.54,-1.009,0.0002,0,0.873,1.009,0,1
acoR,0.568,0.55,0.688,0.00022,0,0.568,0.688,0,1
PA14_60490,-0.834,0.56,-0.59,0.00026,0,0.834,0.59,0,1
PA14_08660,-0.69,0.59,-0.659,0.00027,0,0.69,0.659,0,1
PA14_49860,0.716,0.59,0.713,0.00038,0,0.716,0.713,0,1
pqsE,0.669,0.62,-1.149,0.00038,0,0.669,1.149,0,1
pqsD,0.657,0.62,-0.912,0.00042,0,0.657,0.912,0,1
yjcH,-0.51,0.63,-0.911,0.00042,0,0.51,0.911,0,1
PA14_36480,-0.634,0.63,0.744,0.00055,0,0.634,0.744,0,1
PA14_36375,-0.581,0.66,-0.765,0.00055,0,0.581,0.765,0,1
popD,0.869,0.67,0.672,0.00055,0,0.869,0.672,0,1
pchR,-0.527,0.7,1.04,0.00068,0,0.527,1.04,0,1
PA14_07850,0.67,0.7,0.81,0.0007,0,0.67,0.81,0,1
PA14_36850,-0.574,0.7,-0.795,0.0008,0,0.574,0.795,0,1
PA14_52520,-0.564,0.7,-1.112,0.0008,0,0.564,1.112,0,1
pchA,-0.548,0.73,0.9,0.00097,0,0.548,0.9,0,1
oprM,0.586,0.73,0.569,0.00097,0,0.586,0.569,0,1
PA14_19960,0.713,0.74,0.599,0.00099,0,0.713,0.599,0,1
glgX,-0.574,0.79,-1.166,0.00097,0,0.574,1.166,0,1
PA14_62240,0.507,0.79,0.944,0.0011,0,0.507,0.944,0,1
PA14_08210,-0.517,0.82,-0.686,0.0011,0,0.517,0.686,0,1
glgB,-0.677,0.82,0.941,0.0012,0,0.677,0.941,0,1
PA14_44430,0.563,0.85,-1.273,0.0012,0,0.563,1.273,0,1
PA14_51010,-0.51,0.95,-0.541,0.0013,0,0.51,0.541,0,1
PA14_07980,-0.869,0.95,0.7,0.0014,0,0.869,0.7,0,1
PA14_22090,-0.537,0.95,1.072,0.0015,0,0.537,1.072,0,1
PA14_30750,-0.704,0.96,-0.669,0.0015,0,0.704,0.669,0,1
hxcW,0.562,0.95,-0.877,0.0016,0,0.562,0.877,0,1
PA14_72890,0.584,0.95,-0.994,0.0018,0,0.584,0.994,0,1
pfpI,-0.483,1.0,-1.439,0.0021,0,0.483,1.439,0,1
PA14_39800,-0.49,1.0,0.844,0.0023,0,0.49,0.844,0,1
PA14_55590,-1.12,1.0,0.515,0.0024,0,1.12,0.515,0,1
PA14_36490,-0.771,1.0,1.503,0.0024,0,0.771,1.503,0,1
pchG,-0.532,1.0,-0.858,0.0025,0,0.532,0.858,0,1
opmL,0.672,1.0,0.791,0.0025,0,0.672,0.791,0,1
PA14_51560,-0.861,1.0,-1.055,0.0026,0,0.861,1.055,0,1
PA14_61010,-0.466,1.0,-1.01,0.0032,0,0.466,1.01,0,1
PA14_01350,0.703,1.0,-0.522,0.0032,0,0.703,0.522,0,1
PA14_08220,-0.498,1.0,-0.608,0.0036,0,0.498,0.608,0,1
PA14_04340,0.596,1.0,1.843,0.0038,0,0.596,1.843,0,1
PA14_09690,0.958,1.0,1.055,0.0041,0,0.958,1.055,0,1
nosR,-2.151,1.0,0.536,0.0041,0,2.151,0.536,0,1
yaaU,-0.776,1.0,0.665,0.0041,0,0.776,0.665,0,1
PA14_28150,0.635,1.0,-0.589,0.0042,0,0.635,0.589,0,1
gcvT2,0.611,1.0,0.55,0.0046,0,0.611,0.55,0,1
fepC,-0.58,1.0,0.599,0.0047,0,0.58,0.599,0,1
PA14_19850,0.728,1.0,-1.042,0.0047,0,0.728,1.042,0,1
PA14_19900,0.512,1.0,-0.963,0.0056,0,0.512,0.963,0,1
kdpF,-1.852,1.0,0.8,0.0058,0,1.852,0.8,0,1
hprA,-0.604,1.0,-0.611,0.0059,0,0.604,0.611,0,1
vapI,-0.431,1.0,0.874,0.0068,0,0.431,0.874,0,1
PA14_03166,-0.478,1.0,-0.51,0.0072,0,0.478,0.51,0,1
PA14_09370,-0.504,1.0,0.951,0.0082,0,0.504,0.951,0,1
PA14_35270,0.659,1.0,-0.822,0.0082,0,0.659,0.822,0,1
PA14_54540,0.76,1.0,-0.499,0.0082,0,0.76,0.499,0,1
