gene_symbol,category
ppiA,shared
PA14_05500,shared
PA14_22470,shared
PA14_22460,shared
PA14_22280,shared
PA14_22420,shared
PA14_27390,shared
PA14_27070,shared
yhhW,shared
bapA,shared
nirS,biofilm_unique
oprQ,biofilm_unique
PA14_03730,biofilm_unique
PA14_15360,biofilm_unique
PA14_36470,biofilm_unique
pvrR,planktonic_unique
PA14_42860,planktonic_unique
PA14_10490,planktonic_unique
dnr,planktonic_unique
PA14_32580,planktonic_unique
PA14_37070,planktonic_unique
PA14_30800,planktonic_unique
yceI,planktonic_unique
PA14_13290,planktonic_unique
PA14_28500,planktonic_unique
PA14_33510,planktonic_unique
ccoP,planktonic_unique
PA14_10530,planktonic_unique
modA,planktonic_unique
modB,planktonic_unique
rfaD,planktonic_unique
PA14_13720,planktonic_unique
PA14_34740,planktonic_unique
PA14_41970,planktonic_unique
PA14_48830,planktonic_unique
acpD,planktonic_unique
PA14_18100,planktonic_unique
PA14_34540,planktonic_unique
PA14_45970,planktonic_unique
ccoN,planktonic_unique
PA14_43760,planktonic_unique
PA14_61000,planktonic_unique
pvdO,planktonic_unique
PA14_56540,planktonic_unique
PA14_22480,planktonic_unique
PA14_40380,planktonic_unique
PA14_21260,planktonic_unique
modC,planktonic_unique
PA14_59840,planktonic_unique
hasAp,planktonic_unique
PA14_64530,planktonic_unique
